541550.00,2000.00,3456.00,4.00,1.00,1.21,3.00
532500.00,1998.00,3243.00,6.00,2.00,1.07,3.00
316750.00,1991.00,2448.00,3.00,1.00,0.97,2.00
384550.00,1985.00,2949.00,6.00,2.50,0.98,0.00
499800.00,1993.00,3329.00,4.00,2.50,1.53,2.00
535550.00,1984.00,3663.00,6.00,3.00,1.74,2.00
297350.00,1990.00,2490.00,3.00,1.50,1.09,0.00
291850.00,1987.00,1937.00,5.00,3.00,1.42,3.00
313750.00,1996.00,2310.00,2.00,1.00,0.15,3.00
363950.00,1987.00,2662.00,6.00,1.50,0.81,2.00
385950.00,1982.00,3303.00,2.00,1.50,1.20,1.00
548850.00,2010.00,3199.00,6.00,2.50,1.10,0.00
480350.00,1999.00,3273.00,3.00,1.00,0.96,2.00
283250.00,1993.00,2100.00,6.00,2.00,0.55,0.00
377300.00,1997.00,2460.00,4.00,2.50,0.72,2.00
359100.00,1973.00,3427.00,2.00,1.50,1.17,1.00
717200.00,2010.00,4364.00,2.00,1.50,1.34,3.00
564600.00,1999.00,3851.00,4.00,1.00,1.13,1.00
575900.00,1993.00,3827.00,6.00,2.00,0.79,2.00
425550.00,1982.00,3288.00,2.00,2.50,0.99,3.00
588300.00,1986.00,4101.00,3.00,3.00,1.21,3.00
683550.00,2019.00,3941.00,3.00,2.50,0.66,1.00
467300.00,1997.00,3123.00,4.00,1.50,1.09,2.00
305550.00,1992.00,1940.00,6.00,2.00,0.97,3.00
648100.00,1993.00,4288.00,5.00,2.50,1.16,2.00
381500.00,2001.00,2601.00,5.00,1.00,1.09,0.00
275700.00,1975.00,2729.00,4.00,1.00,1.09,1.00
445200.00,1991.00,3125.00,2.00,2.50,0.93,3.00
417700.00,1988.00,3281.00,3.00,1.50,0.87,1.00
445450.00,1991.00,2978.00,6.00,2.00,1.25,2.00
397650.00,1994.00,2835.00,5.00,1.00,1.16,1.00
426850.00,2002.00,2647.00,5.00,3.00,1.32,0.00
343650.00,1989.00,2227.00,6.00,2.50,1.14,3.00
354900.00,2009.00,2143.00,2.00,1.00,1.23,2.00
496500.00,1998.00,3513.00,3.00,2.00,0.97,0.00
326900.00,2002.00,2085.00,6.00,1.50,1.11,0.00
448850.00,2014.00,2349.00,3.00,3.00,1.10,2.00
525050.00,1992.00,3510.00,5.00,2.50,1.07,2.00
598100.00,1992.00,4062.00,5.00,1.00,0.92,3.00
345250.00,1995.00,2253.00,4.00,3.00,0.82,2.00
497800.00,1985.00,3661.00,6.00,3.00,0.91,0.00
239250.00,1998.00,1457.00,3.00,2.50,0.88,3.00
420000.00,1985.00,3130.00,5.00,1.50,1.20,2.00
357650.00,1986.00,2729.00,2.00,2.00,1.22,3.00
531850.00,1993.00,3661.00,2.00,2.00,1.18,3.00
577600.00,1994.00,3870.00,3.00,2.00,1.14,3.00
315400.00,1986.00,2576.00,4.00,2.50,1.10,0.00
344050.00,1981.00,2956.00,2.00,2.00,0.71,2.00
589100.00,2013.00,3271.00,5.00,2.00,1.23,2.00
255750.00,1986.00,2072.00,3.00,1.00,1.33,3.00
577450.00,1999.00,3603.00,5.00,2.00,0.80,3.00
429800.00,2007.00,2705.00,2.00,1.00,1.27,2.00
702600.00,2006.00,4211.00,5.00,1.50,1.23,3.00
244100.00,1998.00,1574.00,5.00,1.00,1.20,2.00
710850.00,2007.00,4236.00,3.00,3.00,1.03,3.00
247750.00,1990.00,2151.00,2.00,1.00,1.34,1.00
378500.00,1989.00,2663.00,2.00,3.00,1.27,3.00
362450.00,1981.00,2966.00,3.00,3.00,1.17,1.00
633300.00,2015.00,3681.00,2.00,1.50,0.91,3.00
500950.00,2001.00,3048.00,4.00,2.00,1.25,3.00
278550.00,1986.00,2127.00,3.00,2.50,0.80,3.00
565350.00,2003.00,3630.00,5.00,1.50,0.89,1.00
329550.00,1992.00,2344.00,6.00,1.50,1.03,1.00
386800.00,1970.00,3240.00,6.00,2.50,1.22,2.00
448950.00,1992.00,3234.00,3.00,2.00,0.59,2.00
367150.00,1976.00,3214.00,6.00,1.50,1.17,0.00
252850.00,1990.00,2236.00,2.00,1.00,0.83,1.00
357800.00,2005.00,2114.00,6.00,1.50,0.88,1.00
716500.00,2000.00,4598.00,3.00,3.00,1.12,2.00
517750.00,1999.00,3397.00,5.00,2.00,0.88,1.00
601400.00,2005.00,3816.00,6.00,1.50,1.10,0.00
426850.00,1992.00,3007.00,4.00,3.00,0.72,1.00
488450.00,1983.00,3683.00,2.00,3.00,0.40,3.00
568250.00,1986.00,4043.00,5.00,2.50,0.62,2.00
398300.00,2003.00,2491.00,4.00,3.00,1.31,0.00
476100.00,1994.00,3388.00,2.00,3.00,0.86,1.00
